ukeycode#&#jycode#&#inputcode#&#chabbr#&#windcode#&#tradingtime#&#presettlement
1114201#&#158#&#YTJT#&#英特集团#&#000411.SZ#&#[0930,1130],[1300,1500]#&#196500
1114203#&#160#&#DXGD#&#东旭光电#&#000413.SZ#&#[0930,1130],[1300,1500]#&#101900
1114204#&#162#&#BHJK#&#渤海金控#&#000415.SZ#&#[0930,1130],[1300,1500]#&#62800
1114205#&#163#&#MSKG#&#民生控股#&#000416.SZ#&#[0930,1130],[1300,1500]#&#83200
1114206#&#164#&#HFBH#&#合肥百货#&#000417.SZ#&#[0930,1130],[1300,1500]#&#81000
1114207#&#165#&#XTEA#&#小天鹅Ａ#&#000418.SZ#&#[0930,1130],[1300,1500]#&#582400
1114208#&#167#&#TCKG#&#通程控股#&#000419.SZ#&#[0930,1130],[1300,1500]#&#61900
1114209#&#168#&#JLHX#&#吉林化纤#&#000420.SZ#&#[0930,1130],[1300,1500]#&#33500
1114210#&#169#&#NJGY#&#南京公用#&#000421.SZ#&#[0930,1130],[1300,1500]#&#64300
1114211#&#170#&#HBYH#&#湖北宜化#&#000422.SZ#&#[0930,1130],[1300,1500]#&#42600
1114212#&#171#&#DEEJ#&#东阿阿胶#&#000423.SZ#&#[0930,1130],[1300,1500]#&#618000
1114213#&#172#&#XGJX#&#徐工机械#&#000425.SZ#&#[0930,1130],[1300,1500]#&#38200
1114214#&#173#&#XYKY#&#兴业矿业#&#000426.SZ#&#[0930,1130],[1300,1500]#&#91100
1114215#&#174#&#HTJD#&#华天酒店#&#000428.SZ#&#[0930,1130],[1300,1500]#&#41400
1114216#&#175#&#YGSA#&#粤高速Ａ#&#000429.SZ#&#[0930,1130],[1300,1500]#&#78700
1114217#&#177#&#ZJJ#&#张 家 界#&#000430.SZ#&#[0930,1130],[1300,1500]#&#92000
1114218#&#178#&#CMZY#&#晨鸣纸业#&#000488.SZ#&#[0930,1130],[1300,1500]#&#162900
1114219#&#180#&#SDLQ#&#山东路桥#&#000498.SZ#&#[0930,1130],[1300,1500]#&#68600
1114220#&#181#&#EWSA#&#鄂武商Ａ#&#000501.SZ#&#[0930,1130],[1300,1500]#&#167600
1114221#&#182#&#LJKG#&#绿景控股#&#000502.SZ#&#[0930,1130],[1300,1500]#&#117500
1114222#&#184#&#HHKG#&#海虹控股#&#000503.SZ#&#[0930,1130],[1300,1500]#&#249300
1114223#&#185#&#NHSW#&#南华生物#&#000504.SZ#&#[0930,1130],[1300,1500]#&#196000
1114224#&#186#&#ZJKG#&#珠江控股#&#000505.SZ#&#[0930,1130],[1300,1500]#&#101700
1114225#&#188#&#ZRZY#&#中润资源#&#000506.SZ#&#[0930,1130],[1300,1500]#&#80400
1114226#&#189#&#ZHG#&#珠 海 港#&#000507.SZ#&#[0930,1130],[1300,1500]#&#100200
1114228#&#191#&#HSKG#&#华塑控股#&#000509.SZ#&#[0930,1130],[1300,1500]#&#61200
1114229#&#192#&#JLJT#&#金路集团#&#000510.SZ#&#[0930,1130],[1300,1500]#&#80600
1114230#&#193#&#STXT#&#*ST 烯碳#&#000511.SZ#&#[0930,1130],[1300,1500]#&#52700
1114231#&#194#&#LZJT#&#丽珠集团#&#000513.SZ#&#[0930,1130],[1300,1500]#&#687000
1114232#&#196#&#YKF#&#渝 开 发#&#000514.SZ#&#[0930,1130],[1300,1500]#&#67700
1114234#&#198#&#GJYX#&#国际医学#&#000516.SZ#&#[0930,1130],[1300,1500]#&#49400
1114235#&#199#&#RADC#&#荣安地产#&#000517.SZ#&#[0930,1130],[1300,1500]#&#39500
1114236#&#200#&#SHSW#&#四环生物#&#000518.SZ#&#[0930,1130],[1300,1500]#&#67400
1114237#&#201#&#ZBHJ#&#中兵红箭#&#000519.SZ#&#[0930,1130],[1300,1500]#&#83700
1114238#&#202#&#CHFH#&#长航凤凰#&#000520.SZ#&#[0930,1130],[1300,1500]#&#44100
1114239#&#203#&#MLDQ#&#美菱电器#&#000521.SZ#&#[0930,1130],[1300,1500]#&#57100
1114241#&#206#&#GZLQ#&#广州浪奇#&#000523.SZ#&#[0930,1130],[1300,1500]#&#88700
1114242#&#207#&#LNKG#&#岭南控股#&#000524.SZ#&#[0930,1130],[1300,1500]#&#117500
1114243#&#208#&#HTY#&#红 太 阳#&#000525.SZ#&#[0930,1130],[1300,1500]#&#229000
1114244#&#209#&#STZX#&#*ST 紫学#&#000526.SZ#&#[0930,1130],[1300,1500]#&#366800
1114246#&#211#&#LG#&#柳    工#&#000528.SZ#&#[0930,1130],[1300,1500]#&#77900
1114247#&#212#&#GHKG#&#广弘控股#&#000529.SZ#&#[0930,1130],[1300,1500]#&#74200
1114248#&#213#&#DLGF#&#大冷股份#&#000530.SZ#&#[0930,1130],[1300,1500]#&#59600
1114249#&#215#&#SHYA#&#穗恒运Ａ#&#000531.SZ#&#[0930,1130],[1300,1500]#&#87200
1114250#&#216#&#HJZB#&#华金资本#&#000532.SZ#&#[0930,1130],[1300,1500]#&#119600
1114251#&#217#&#WJL#&#万 家 乐#&#000533.SZ#&#[0930,1130],[1300,1500]#&#96300
1114252#&#218#&#WZGF#&#万泽股份#&#000534.SZ#&#[0930,1130],[1300,1500]#&#147700
1114254#&#220#&#HYKJ#&#华映科技#&#000536.SZ#&#[0930,1130],[1300,1500]#&#51500
1114255#&#221#&#GYFZ#&#广宇发展#&#000537.SZ#&#[0930,1130],[1300,1500]#&#150000
1114256#&#222#&#YNBY#&#云南白药#&#000538.SZ#&#[0930,1130],[1300,1500]#&#1018100
1114257#&#223#&#YDLA#&#粤电力Ａ#&#000539.SZ#&#[0930,1130],[1300,1500]#&#50300
1114258#&#225#&#ZTJR#&#中天金融#&#000540.SZ#&#[0930,1130],[1300,1500]#&#73500
1114259#&#226#&#FSZM#&#佛山照明#&#000541.SZ#&#[0930,1130],[1300,1500]#&#92700
1114261#&#229#&#WNDL#&#皖能电力#&#000543.SZ#&#[0930,1130],[1300,1500]#&#51600
1114262#&#230#&#ZYHB#&#中原环保#&#000544.SZ#&#[0930,1130],[1300,1500]#&#173000
1114263#&#231#&#JPTY#&#金浦钛业#&#000545.SZ#&#[0930,1130],[1300,1500]#&#51000
1114264#&#232#&#JYGF#&#金圆股份#&#000546.SZ#&#[0930,1130],[1300,1500]#&#178800
1114265#&#233#&#HTFZ#&#航天发展#&#000547.SZ#&#[0930,1130],[1300,1500]#&#108300
1114266#&#234#&#HNTZ#&#湖南投资#&#000548.SZ#&#[0930,1130],[1300,1500]#&#68000
1114268#&#236#&#JLQC#&#江铃汽车#&#000550.SZ#&#[0930,1130],[1300,1500]#&#175200
1114269#&#238#&#CYKJ#&#创元科技#&#000551.SZ#&#[0930,1130],[1300,1500]#&#84700
1114270#&#239#&#JYMD#&#靖远煤电#&#000552.SZ#&#[0930,1130],[1300,1500]#&#34700
1114271#&#240#&#SLDA#&#沙隆达Ａ#&#000553.SZ#&#[0930,1130],[1300,1500]#&#161300
1114272#&#242#&#TSSY#&#泰山石油#&#000554.SZ#&#[0930,1130],[1300,1500]#&#82000
1114273#&#243#&#SZXX#&#神州信息#&#000555.SZ#&#[0930,1130],[1300,1500]#&#167300
1114275#&#245#&#XBCY#&#西部创业#&#000557.SZ#&#[0930,1130],[1300,1500]#&#47900
1114276#&#246#&#LYTY#&#莱茵体育#&#000558.SZ#&#[0930,1130],[1300,1500]#&#57300
1114277#&#247#&#WXQC#&#万向钱潮#&#000559.SZ#&#[0930,1130],[1300,1500]#&#111700
1114278#&#248#&#KBDA#&#昆百大Ａ#&#000560.SZ#&#[0930,1130],[1300,1500]#&#100500
1114279#&#249#&#FHDZ#&#烽火电子#&#000561.SZ#&#[0930,1130],[1300,1500]#&#83500
1114281#&#251#&#SGTA#&#陕国投Ａ#&#000563.SZ#&#[0930,1130],[1300,1500]#&#50100
1114282#&#252#&#GXDJ#&#供销大集#&#000564.SZ#&#[0930,1130],[1300,1500]#&#51200
1114283#&#253#&#YSXA#&#渝三峡Ａ#&#000565.SZ#&#[0930,1130],[1300,1500]#&#76600
1114284#&#254#&#HNHY#&#海南海药#&#000566.SZ#&#[0930,1130],[1300,1500]#&#129400
1114285#&#255#&#HDGF#&#海德股份#&#000567.SZ#&#[0930,1130],[1300,1500]#&#249000
1114286#&#256#&#LZLJ#&#泸州老窖#&#000568.SZ#&#[0930,1130],[1300,1500]#&#690100
