ukcode,jycode,inputcode,chabbr,windcode
1114303,325,MHSH,000637,茂化实华,000637.SZ
1114304,316,STFT,000629,*ST 钒钛,000629.SZ
1114305,315,GXFZ,000628,高新发展,000628.SZ
1114306,329,GLDQ,000651,格力电器,000651.SZ
1114307,318,TLYS,000630,铜陵有色,000630.SZ
1114308,323,YLT,000635,英 力 特,000635.SZ
1114309,321,SMJT,000632,三木集团,000632.SZ
1114310,320,SFHY,000631,顺发恒业,000631.SZ
1114311,326,WFFZ,000638,万方发展,000638.SZ
1114312,327,XWSP,000639,西王食品,000639.SZ
1114314,313,YDKG,000626,远大控股,000626.SZ
1114315,330,TDGF,000652,泰达股份,000652.SZ
1114316,332,JLKY,000655,金岭矿业,000655.SZ
1114317,333,JKGF,000656,金科股份,000656.SZ
1114318,324,FHGK,000636,风华高科,000636.SZ
1114319,336,STZF,000659,*ST 中富,000659.SZ
1114320,334,ZWGX,000657,中钨高新,000657.SZ
1114321,344,MHZY,000667,美好置业,000667.SZ
1114322,340,YALY,000663,永安林业,000663.SZ
1114324,328,RHYY,000650,仁和药业,000650.SZ
1114325,341,HBGD,000665,湖北广电,000665.SZ
1114326,342,JWFJ,000666,经纬纺机,000666.SZ
1114327,345,RFKG,000668,荣丰控股,000668.SZ
1114328,346,JHNY,000669,金鸿能源,000669.SZ
1114329,339,TXZH,000662,天夏智慧,000662.SZ
1114330,347,YFW,000670,盈 方 微,000670.SZ
1114332,338,CCGX,000661,长春高新,000661.SZ
1114333,348,YGC,000671,阳 光 城,000671.SZ
1114334,349,SFSN,000672,上峰水泥,000672.SZ
1114335,352,ZDGF,000676,智度股份,000676.SZ
1114336,99,SSG,000058,深 赛 格,000058.SZ
1114338,353,HTHL,000677,恒天海龙,000677.SZ
1114340,354,XYZC,000678,襄阳轴承,000678.SZ
1114341,103,NCP,000061,农 产 品,000061.SZ
1114342,363,JXKY,000688,建新矿业,000688.SZ
1114343,357,SJZG,000681,视觉中国,000681.SZ
1114344,358,DFDZ,000682,东方电子,000682.SZ
1114345,356,STGF,000680,山推股份,000680.SZ
1114346,102,ZJLN,000060,中金岭南,000060.SZ
1114347,360,ZSGY,000685,中山公用,000685.SZ
1114348,350,DDDF,000673,当代东方,000673.SZ
1114349,355,DLYY,000679,大连友谊,000679.SZ
1114350,299,STDHA,000613,*ST东海A,000613.SZ
1114351,365,BXNY,000690,宝新能源,000690.SZ
1114352,101,HJGF,000059,华锦股份,000059.SZ
1114353,104,SZHQ,000062,深圳华强,000062.SZ
1114354,359,YXNY,000683,远兴能源,000683.SZ
1114355,369,BHNY,000695,滨海能源,000695.SZ
1114356,374,SYHG,000698,沈阳化工,000698.SZ
1114357,362,HXFZ,000687,华讯方舟,000687.SZ
1114358,368,STHZ,000693,*ST 华泽,000693.SZ
1114359,377,XMXD,000701,厦门信达,000701.SZ
1114360,361,DBZQ,000686,东北证券,000686.SZ
1114361,367,HTRD,000692,惠天热电,000692.SZ
1114362,366,STYT,000691,ST 亚太,000691.SZ
1114363,376,MSKJ,000700,模塑科技,000700.SZ
1114364,372,ZSDL,001696,宗申动力,001696.SZ
1114366,378,ZHKJ,000702,正虹科技,000702.SZ
1114367,373,LSYS,000697,炼石有色,000697.SZ
1114368,382,DYTG,000708,大冶特钢,000708.SZ
1114369,165,XTEA,000418,小天鹅Ａ,000418.SZ
1114370,379,HYSH,000703,恒逸石化,000703.SZ
1114371,392,DDCM,000719,大地传媒,000719.SZ
1114372,391,SNHQ,000718,苏宁环球,000718.SZ
1114373,380,ZJZY,000705,浙江震元,000705.SZ
1114374,385,JLKJ,000711,京蓝科技,000711.SZ
1114375,381,SHKJ,000707,双环科技,000707.SZ
1114376,386,JLGF,000712,锦龙股份,000712.SZ
1114377,383,HGGF,000709,河钢股份,000709.SZ
1114378,423,ZSGF,000758,中色股份,000758.SZ
1114379,147,XJDQ,000400,许继电气,000400.SZ
1114380,389,HZM,000716,黑 芝 麻,000716.SZ
1114381,384,STTY,000710,*ST 天仪,000710.SZ
1114382,387,FLZY,000713,丰乐种业,000713.SZ
1114383,410,ZFDC,000736,中房地产,000736.SZ
1114384,411,NFHG,000737,南风化工,000737.SZ
1114385,394,XAYS,000721,西安饮食,000721.SZ
1114386,431,THJM,000766,通化金马,000766.SZ
1114387,388,ZXSY,000715,中兴商业,000715.SZ
1114388,390,SGSS,000717,韶钢松山,000717.SZ
1114389,393,XNTS,000720,新能泰山,000720.SZ
1114390,413,PLYY,000739,普洛药业,000739.SZ
1114391,396,MJNY,000723,美锦能源,000723.SZ
1114392,424,ZBJT,000759,中百集团,000759.SZ
1114393,401,HDKJ,000727,华东科技,000727.SZ
1114394,395,HNFZ,000722,湖南发展,000722.SZ
1114396,438,SMPS,000779,三毛派神,000779.SZ
1114398,437,XXZG,000778,新兴铸管,000778.SZ
1114399,439,STPN,000780,*ST 平能,000780.SZ
1114400,443,BXJC,000786,北新建材,000786.SZ
1114401,180,SDLQ,000498,山东路桥,000498.SZ
1114402,432,ZZDL,000767,漳泽电力,000767.SZ
1114403,311,CAQC,000625,长安汽车,000625.SZ
1114404,108,HKSG,000068,华控赛格,000068.SZ
1114405,409,LNS,000735,罗 牛 山,000735.SZ
1114406,435,GFZQ,000776,广发证券,000776.SZ
1114407,402,GYZQ,000728,国元证券,000728.SZ
1114408,445,BDYY,000788,北大医药,000788.SZ
1114409,406,SCMF,000731,四川美丰,000731.SZ
1114410,480,DGKG,000828,东莞控股,000828.SZ
1114411,456,YQJC,000800,一汽轿车,000800.SZ
1114412,440,MDGF,000782,美达股份,000782.SZ
1114413,417,XZFZ,000752,西藏发展,000752.SZ
1114414,472,YYXC,000819,岳阳兴长,000819.SZ
1114415,107,ZGCC,000066,中国长城,000066.SZ
1114416,412,HFKZ,000738,航发控制,000738.SZ
1114417,416,XYGF,000751,锌业股份,000751.SZ
1114418,418,ZZFZ,000753,漳州发展,000753.SZ
